BASE_YM,MDCL_TOID_CODE,MDCL_TOID_NM,MENU_LGLS_CODE,MENU_LGLS_NM,MENU_MDCL_CODE,MENU_MDCL_NM,MLE_Y20_BELO_SELG_AMNT,MLE_Y20_SELG_AMNT,MLE_Y30_SELG_AMNT,MLE_Y40_SELG_AMNT,MLE_Y50_SELG_AMNT,MLE_Y60_ANM_SELG_AMNT,WO_Y20_BELO_SELG_AMNT,WO_Y20_SELG_AMNT,WO_Y30_SELG_AMNT,WO_Y40_SELG_AMNT,WO_Y50_SELG_AMNT,WO_Y60_ANM_SELG_AMNT,AGEGRP_SEX_TOT_SELG_AMNT,MLE_Y20_BELO_USE_NCAS,MLE_Y20_USE_NCAS,MLE_Y30_USE_NCAS,MLE_Y40_USE_NCAS,MLE_Y50_USE_NCAS,MLE_Y60_ANM_USE_NCAS,WO_Y20_BELO_USE_NCAS,WO_Y20_USE_NCAS,WO_Y30_USE_NCAS,WO_Y40_USE_NCAS,WO_Y50_USE_NCAS,WO_Y60_ANM_USE_NCAS
202312,Q10,일식/수산물,L,전/부침류,L02,야채전/부침류,,2108200,7997500,11447300,20284800,15311800,,4770600,6234210,8538988,17549700,11574648,2066848,,122,510,727,1334,977,,271,372,522,1131,706
202406,Q06,분식,Y,추가/사리,Y01,추가/사리,236800,4242300,9578872,14024304,14515252,11064382,213800,4187290,7302840,10939876,9271525,5079854,8991839,136,2551,4607,6846,6808,3950,130,2464,3945,6030,4621,2028
202311,Q01,간이주점,A,밥류,A09,볶음밥류,20000,9131906,7755900,6839350,4976700,1522900,192500,6813198,3473341,2623950,1687000,516800,,8,1480,1304,1206,950,296,18,983,552,477,329,118
202307,Q10,일식/수산물,D,국/탕/찌개/전골류,D07,찌개류,36000,3793800,14598757,31248536,52649060,41183554,,2106000,7720493,13708300,21378743,16385118,,4,463,1796,3691,6496,5615,,226,839,1717,2891,2521
202310,Q08,유흥주점,D,국/탕/찌개/전골류,D02,나베류,,427700,257000,,,,,315200,,,,,,,17,10,,,,,13,,,,
202405,Q15,한식,E,구이류,E03,육류구이류,2944765,196923300,589007970,889885706,1109921849,1066177501,1376800,147166784,330210475,431614970,564232737,535131434,258020004,342,13606,35528,54084,65847,58458,154,9861,19698,25979,32373,28138
202405,Q12,중식,Y,추가/사리,Y01,추가/사리,170500,4837397,6489034,7150668,5684973,2659431,269900,5324225,4122784,4514727,3448008,1647200,14088387,108,2481,2778,2443,1785,796,162,2480,1851,1799,1183,412
202405,Q03,닭/오리요리,Y,추가/사리,Y01,추가/사리,266162,12196327,24284639,30576900,31132626,19764614,179500,9543408,14995948,18752798,18208547,12896881,45270077,253,8251,16332,20000,19678,11680,124,5767,9267,11655,11533,7197
202405,Q11,제과/제빵/떡/케익,A,밥류,A04,덮밥류,32000,1058480,2886540,4021730,4222088,3846649,16000,1630060,2184955,3841372,4492821,4237070,,4,157,461,623,655,617,7,303,405,691,801,726
202403,Q08,유흥주점,W,음료류,W11,차류,,4613677,5366958,758999,513375,739500,48500,4083632,2224554,315675,1175350,410600,,,555,538,101,72,122,11,486,281,65,188,70
202309,Q07,양식,V,주류,V03,맥주류,43000,21126689,50682831,42523067,37199521,13609700,35000,18655654,29026962,22651982,17249877,3605400,,10,3399,7613,6883,6547,2396,5,2546,3889,3792,2841,525
